Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),MM,Species
2,49.2,18.2,13.96424004376894,8.389359819906353,9.27158,-24.64335,30,1
2,42.4,17.3,13.45362404707371,8.1886891244442,9.35138,-24.6879,3,1
2,48.5,17.5,13.820274961085254,8.131530710604252,9.42666,-24.26375,3,1
2,43.2,16.6,13.674794331177344,7.9724660159745655,9.35416,-25.01185,28,1
2,50.6,19.4,13.892443989449804,8.242756345714477,9.28153,-24.971339999999998,28,1
2,46.7,17.9,13.96424004376894,8.101677747454572,9.741439999999999,-24.59467,28,1
2,52.0,19.0,14.035668847618199,8.330863613224745,9.367989999999999,-24.471420000000002,28,1
2,50.5,18.4,14.142135623730951,8.131530710604252,8.9399,-23.89017,25,1
2,49.5,19.0,14.142135623730951,8.242756345714477,9.63074,-24.34684,25,1
2,46.4,17.8,13.820274961085254,8.216088098632316,9.37369,-24.52896,14,1
2,52.8,20.0,14.317821063276353,8.422882511944996,9.25177,-24.696379999999998,14,1
2,40.9,16.6,13.674794331177344,8.070906088787819,9.08458,-24.54903,24,1
2,54.2,20.8,14.177446878757825,8.366370301681654,9.49283,-24.59996,24,1
2,42.5,16.7,13.674794331177344,8.116715624819111,9.36668,-24.45195,24,1
2,51.0,18.8,14.247806848775006,8.318742252692399,9.23196,-24.17282,24,1
2,49.7,18.6,13.96424004376894,8.1886891244442,9.75486,-24.31198,25,1
2,47.5,16.8,14.106735979665885,8.268731832117737,9.07825,-25.1455,25,1
2,47.6,18.3,13.96424004376894,8.25582842728183,8.83502,-24.65859,14,1
2,52.0,20.7,14.491376746189438,8.476371196895983,9.431460000000001,-24.6844,14,1
2,46.9,16.6,13.856406460551018,7.90100705199242,9.80589,-24.73735,24,1
2,53.5,19.9,14.317821063276353,8.411832675758411,10.02544,-24.908160000000002,24,1
2,49.0,19.5,14.491376746189438,8.281470857895167,9.53262,-24.668670000000002,24,1
2,46.2,17.5,13.674794331177344,8.202482446576537,9.617339999999999,-24.66188,24,1
2,50.9,19.1,14.0,8.174702882469461,10.023719999999999,-24.86594,14,1
2,45.5,17.0,14.0,8.160518247477505,9.364930000000001,-24.662589999999998,14,1
2,50.9,17.9,14.0,8.209308411646937,9.43684,-24.16566,17,1
2,50.8,18.5,14.177446878757825,8.400659375160286,9.458269999999999,-24.35575,17,1
2,50.1,17.9,13.784048752090222,8.131530710604252,9.46819,-24.45721,27,1
2,49.0,19.6,14.560219778561036,8.366370301681654,9.34089,-24.45189,27,1
2,51.5,18.7,13.674794331177344,8.086410275323782,9.6895,-24.43062,23,1
2,49.8,17.3,14.071247279470288,8.209308411646937,9.32169,-24.41562,23,1
2,48.1,16.4,14.106735979665885,8.109224953089955,9.469289999999999,-24.484029999999997,21,1
2,51.4,19.0,14.177446878757825,8.281470857895167,9.43782,-24.36202,21,1
2,45.7,17.3,13.892443989449804,8.1886891244442,9.415,-24.805,23,1
2,50.7,19.7,14.247806848775006,8.306472160100585,9.93727,-24.59066,23,1
2,42.5,17.3,13.674794331177344,8.116715624819111,9.565339999999999,-24.60882,27,1
2,52.2,18.8,14.035668847618199,8.146129510025405,9.77528,-24.56481,27,1
2,45.2,16.6,13.820274961085254,8.086410275323782,9.623569999999999,-24.789839999999998,21,1
2,49.3,19.9,14.247806848775006,8.306472160100585,9.88809,-24.595129999999997,21,1
2,50.2,18.8,14.212670403551895,8.242756345714477,9.74492,-24.404,21,1
2,45.6,19.4,13.92838827718412,8.16763571524637,9.46985,-24.65786,21,1
2,51.9,19.5,14.352700094407323,8.281470857895167,8.652405,-23.787670000000002,27,1
2,46.8,16.5,13.74772708486752,8.202482446576537,9.65061,-24.48153,27,1
2,45.7,17.0,13.96424004376894,8.202482446576537,9.26715,-24.31912,19,1
2,55.8,19.8,14.38749456993816,8.294049640102028,9.70465,-24.53494,19,1
2,43.5,18.1,14.212670403551895,8.131530710604252,9.37608,-24.407529999999998,21,1
2,49.6,18.2,13.892443989449804,8.236155661683124,9.4618,-24.70615,21,1
2,50.8,19.0,14.491376746189438,8.318742252692399,9.98044,-24.68741,21,1
2,50.2,18.7,14.071247279470288,8.236155661683124,9.39305,-24.25255,21,1
1,46.1,13.2,14.52583904633395,8.411832675758411,7.992999999999999,-25.5139,27,2
1,50.0,16.3,15.165750888103101,8.648221453822641,8.14756,-25.39369,27,2
1,48.7,14.1,14.491376746189438,8.400659375160286,8.14705,-25.46172,27,2
1,50.0,15.2,14.7648230602334,8.648221453822641,8.2554,-25.40075,27,2
1,47.6,14.5,14.66287829861518,8.594154232552366,8.2345,-25.54456,18,2
1,46.5,13.5,14.491376746189438,8.422882511944996,7.9953,-25.32829,18,2
1,45.4,14.6,14.52583904633395,8.476371196895983,8.24515,-25.46782,27,2
1,46.7,15.3,14.798648586948742,8.556413904569519,8.22673,-25.4276,27,2
1,43.3,13.4,14.45683229480096,8.389359819906353,8.13643,-25.32176,27,2
1,46.8,15.4,14.66287829861518,8.546751993657782,8.1631,-25.38017,27,2
1,40.9,13.7,14.628738838327793,8.444622498581403,8.195789999999999,-25.3933,27,2
1,49.0,16.1,14.696938456699069,8.62155320674048,8.10417,-25.50562,27,2
1,45.5,13.7,14.628738838327793,8.444622498581403,7.77672,-25.4168,29,2
1,48.4,14.6,14.594519519326424,8.674196940225903,7.8208,-25.48025,29,2
1,45.8,14.6,14.491376746189438,8.34283980427146,7.799580000000001,-25.626179999999998,3,2
1,49.3,15.7,14.730919862656235,8.674196940225903,8.07137,-25.524729999999998,3,2
1,42.0,13.5,14.491376746189438,8.330863613224745,7.638839999999999,-25.52627,27,2
1,49.2,15.2,14.866068747318506,8.748304912379623,8.273760000000001,-25.00169,27,2
1,46.2,14.5,14.45683229480096,8.476371196895983,7.84057,-25.378989999999998,27,2
1,48.7,15.1,14.89966442575134,8.584851839890053,7.964910000000001,-25.395870000000002,27,2
1,50.2,14.3,14.7648230602334,8.648221453822641,7.8962,-25.37746,27,2
1,45.1,14.5,14.66287829861518,8.517193191416238,7.6322,-25.46569,27,2
1,46.5,14.5,14.594519519326424,8.389359819906353,7.9043600000000005,-25.3947,27,2
1,46.3,15.8,14.66287829861518,8.527143522269405,7.9097100000000005,-25.38157,27,2
1,42.9,13.1,14.66287829861518,8.517193191416238,7.6852800000000006,-25.39181,29,2
1,46.1,15.1,14.66287829861518,8.536995818712418,7.837330000000001,-25.42826,29,2
1,44.5,14.3,14.696938456699069,8.318742252692399,7.96621,-25.693270000000002,29,2
1,47.8,15.0,14.66287829861518,8.639410824140487,7.92358,-25.483829999999998,29,2
1,48.2,14.3,14.491376746189438,8.433811582477187,7.6887,-25.508110000000002,29,2
1,50.0,15.3,14.832396974191326,8.62155320674048,8.30515,-25.190170000000002,29,2
1,47.3,15.3,14.89966442575134,8.565983355585669,8.652405,-25.83352,29,2
1,42.8,14.2,14.45683229480096,8.45531778769815,7.634519999999999,-25.46327,29,2
1,45.1,14.5,14.38749456993816,8.527143522269405,7.974080000000001,-25.537679999999998,3,2
1,59.6,17.0,15.165750888103101,8.707813551024888,7.76843,-25.6821,3,2
1,49.1,14.8,14.832396974191326,8.546751993657782,7.89744,-26.63405,13,2
1,48.4,16.3,14.832396974191326,8.594154232552366,8.036589999999999,-26.86127,13,2
1,42.6,13.7,14.594519519326424,8.507142855562735,7.96935,-26.70968,2,2
1,44.4,17.3,14.798648586948742,8.565983355585669,8.13746,-26.79093,2,2
1,44.0,13.6,14.422205101855956,8.37793112408273,8.019789999999999,-26.68311,9,2
1,48.7,15.7,14.422205101855956,8.584851839890053,8.14776,-26.845059999999997,9,2
1,42.7,13.7,14.422205101855956,8.281470857895167,8.145669999999999,-26.59467,4,2
1,49.6,16.0,15.0,8.648221453822641,8.383239999999999,-26.84272,4,2
1,45.3,13.7,14.491376746189438,8.366370301681654,8.37615,-26.727909999999998,4,2
1,49.6,15.0,14.696938456699069,8.465899897028686,8.26548,-26.7699,4,2
1,50.5,15.9,14.89966442575134,8.62155320674048,8.46894,-26.604359999999996,3,2
1,43.6,13.9,14.730919862656235,8.496990484098719,8.271410000000001,-26.7765,3,2
1,45.5,13.9,14.491376746189438,8.34283980427146,8.47829,-26.61788,9,2
1,50.5,15.9,15.0,8.594154232552366,8.65803,-26.57585,9,2
1,44.9,13.3,14.594519519326424,8.536995818712418,8.45167,-26.896440000000002,2,2
1,45.2,15.8,14.66287829861518,8.575462099540212,8.55868,-26.67799,2,2
1,46.6,14.2,14.491376746189438,8.48673398393153,8.38289,-26.86352,4,2
1,48.5,14.1,14.832396974191326,8.575462099540212,8.39867,-26.79358,4,2
1,45.1,14.4,14.491376746189438,8.389359819906353,8.51951,-27.01854,4,2
1,50.1,15.0,15.0,8.517193191416238,8.50153,-26.614140000000003,4,2
1,46.5,14.4,14.730919862656235,8.496990484098719,8.48789,-26.830059999999996,4,2
1,45.0,15.4,14.832396974191326,8.527143522269405,8.63488,-26.75621,4,2
1,43.8,13.9,14.422205101855956,8.366370301681654,8.58319,-26.84415,3,2
1,45.5,15.0,14.832396974191326,8.517193191416238,8.63604,-26.7489,3,2
1,43.2,14.5,14.422205101855956,8.400659375160286,8.48367,-26.86485,6,2
1,50.4,15.3,14.966629547095765,8.62155320674048,8.74647,-26.79846,6,2
1,45.3,13.8,14.422205101855956,8.34283980427146,8.65015,-26.79053,3,2
1,46.2,14.9,14.866068747318506,8.575462099540212,8.60092,-26.843740000000004,3,2
1,45.7,13.9,14.628738838327793,8.389359819906353,8.6287,-26.604840000000003,13,2
1,54.3,15.7,15.198684153570664,8.639410824140487,8.49662,-26.841659999999997,13,2
1,45.8,14.2,14.798648586948742,8.45531778769815,8.60447,-26.61601,4,2
1,49.8,16.8,15.165750888103101,8.648221453822641,8.47067,-26.69166,4,2
1,46.2,14.4,14.628738838327793,8.444622498581403,8.24253,-26.8154,9,2
1,49.5,16.2,15.132745950421556,8.66561319653451,8.49854,-26.74809,9,2
1,43.5,14.2,14.832396974191326,8.45531778769815,8.64931,-26.688670000000002,13,2
1,50.7,15.0,14.933184523068078,8.62155320674048,8.63551,-26.742490000000004,13,2
1,47.7,15.0,14.696938456699069,8.465899897028686,8.53018,-26.72751,3,2
1,46.4,15.6,14.866068747318506,8.517193191416238,8.35078,-26.707829999999998,3,2
1,48.2,15.6,14.866068747318506,8.536995818712418,8.24651,-26.66958,9,2
1,46.5,14.8,14.730919862656235,8.556413904569519,8.58487,-26.5929,9,2
1,46.4,15.0,14.696938456699069,8.45531778769815,8.47938,-26.9547,6,2
1,48.6,16.0,15.165750888103101,8.66561319653451,8.5964,-26.711990000000004,6,2
1,47.5,14.2,14.45683229480096,8.433811582477187,8.39299,-26.787329999999997,6,2
1,51.1,16.3,14.832396974191326,8.699514748210191,8.40327,-26.768209999999996,6,2
1,45.2,13.8,14.66287829861518,8.465899897028686,8.246939999999999,-26.65359,9,2
1,45.2,16.4,14.933184523068078,8.691146498539675,8.19749,-26.659309999999998,9,2
1,49.1,14.5,14.560219778561036,8.439231649946526,8.35802,-26.2766,18,2
1,52.5,15.6,14.866068747318506,8.60337088765729,8.286010000000001,-26.27573,18,2
1,47.4,14.6,14.560219778561036,8.460622839927844,8.19101,-26.24369,15,2
1,50.0,15.9,14.966629547095765,8.584851839890053,8.20042,-26.39677,15,2
1,44.9,13.8,14.560219778561036,8.465899897028686,8.11238,-26.20372,22,2
1,50.8,17.3,15.0996688705415,8.630521876723241,8.274280000000001,-26.30019,22,2
1,43.4,14.4,14.7648230602334,8.433811582477187,8.23468,-26.18599,20,2
1,51.3,14.2,14.7648230602334,8.575462099540212,8.15426,-26.3433,20,2
1,47.5,14.0,14.560219778561036,8.491875383431948,8.12691,-26.23613,25,2
1,52.1,17.0,15.165750888103101,8.62155320674048,8.27595,-26.11657,25,2
1,47.5,15.0,14.7648230602334,8.507142855562735,8.296710000000001,-26.08547,25,2
1,52.2,17.1,15.0996688705415,8.594154232552366,8.36701,-25.89834,25,2
1,45.5,14.5,14.560219778561036,8.465899897028686,8.155660000000001,-26.228479999999998,1,2
1,49.5,16.1,14.966629547095765,8.639410824140487,8.83352,-25.69195,1,2
1,44.5,14.7,14.628738838327793,8.48673398393153,8.20106,-26.16524,27,2
1,50.8,15.7,15.033296378372908,8.556413904569519,8.27102,-26.11244,27,2
1,49.4,15.8,14.696938456699069,8.502079553606189,8.03624,-26.065939999999998,18,2
1,46.9,14.6,14.89966442575134,8.491875383431948,7.8881,-26.04726,18,2
1,48.4,14.4,14.247806848775006,8.439231649946526,8.16582,-26.13971,18,2
1,51.1,16.5,15.0,8.565983355585669,8.2066,-26.36863,18,2
1,48.5,15.0,14.798648586948742,8.48673398393153,8.102310000000001,-26.18763,22,2
1,55.9,17.0,15.0996688705415,8.630521876723241,8.3118,-26.35425,22,2
1,47.2,15.5,14.66287829861518,8.512180649592693,8.30817,-26.216509999999996,18,2
1,49.1,15.0,15.0996688705415,8.612503371220562,8.659139999999999,-25.79203,18,2
1,47.3,13.8,14.696938456699069,8.460622839927844,8.25818,-26.23886,1,2
1,46.8,16.1,14.66287829861518,8.612503371220562,8.32359,-26.057560000000002,1,2
1,41.7,14.7,14.491376746189438,8.45531778769815,8.12311,-26.44815,10,2
1,53.4,15.8,14.798648586948742,8.612503371220562,8.410169999999999,-26.33867,10,2
1,43.3,14.0,14.422205101855956,8.428361977709622,8.4207,-26.38092,9,2
1,48.1,15.1,14.45683229480096,8.612503371220562,8.45738,-26.226640000000003,9,2
1,50.5,15.2,14.696938456699069,8.517193191416238,8.24691,-26.18466,20,2
1,49.8,15.9,15.132745950421556,8.691146498539675,8.29226,-26.21019,20,2
1,43.5,15.2,14.594519519326424,8.444622498581403,8.216339999999999,-26.11046,27,2
1,51.5,16.3,15.165750888103101,8.612503371220562,8.78557,-25.761470000000003,27,2
1,46.2,14.1,14.730919862656235,8.383661798791715,8.30231,-25.96013,25,2
1,55.1,16.0,15.165750888103101,8.674196940225903,8.08354,-26.18161,25,2
1,44.5,15.7,14.730919862656235,8.491875383431948,8.04111,-26.18444,1,2
1,48.8,16.2,14.89966442575134,8.699514748210191,8.33825,-25.88547,1,2
1,47.2,13.7,14.628738838327793,8.502079553606189,7.99184,-26.205379999999998,1,2
1,44.45,17.3,14.035668847618199,8.306472160100585,8.652405,-25.83352,1,2
1,46.8,14.3,14.66287829861518,8.48673398393153,8.41151,-26.13832,22,2
1,50.4,15.7,14.89966442575134,8.656955133791396,8.30166,-26.04117,22,2
1,45.2,14.8,14.560219778561036,8.556413904569519,8.242460000000001,-26.11969,22,2
1,49.9,16.1,14.594519519326424,8.594154232552366,8.3639,-26.15531,22,2
